provider_id,provider_first_name,provider_last_name,degree,network,claim_id,practice_name,address_id,gender
7059,Price,Daniel,MD , Out Network,958, SMILE DENTAL ,4518,Male 
7060,Nathan,Pickett, MBBS ,In Network ,959, SMILE DENTAL ,1653, Female 
7061,Curran,Coleman, DDS, Out Network,960, WELLCARE HOSPITAL ,4071, Not Answered
7062,Nathaniel,Jordan, MBBS ,In Network ,961, ADVENT HEATH ,2843, Not Answered
7063,Norman,Floyd,MD , Out Network,962, MEMORIAL HOSPITAL ,1537, Not Answered
7064,Benedict,Mann, MS ,In Network ,963, WELLCARE HOSPITAL ,3860, Not Answered
7065,Dalton,Bauer, CRNP ,In Network ,964, CONCORDIA HEALTH ,4753, Female 
7066,Eaton,Whitaker, RD , Out Network,965, VIERRA HOSPITAL ,4514, Female 
7067,Allistair,Britt, RD , Out Network,966, ADVENT HEATH ,4875,Male 
7068,Kamal,Jefferson, DDS, Out Network,967, WELLCARE HOSPITAL ,1861, Female 
7069,Jared,Knox, DDS, Out Network,968,ABC HOSPITAL ,1511, Not Answered
7070,Abraham,Woodward, MS ,In Network ,969, SMILE DENTAL ,1354, Not Answered
7071,Dalton,Hale, MBBS , Out Network,970,ABC HOSPITAL ,4272,Male 
7072,Elliott,Blackwell, MBBS ,In Network ,971, ADVENT HEATH ,4266, Female 
7073,Kenyon,Miller, RD ,In Network ,972, MEMORIAL HOSPITAL ,1217, Female 
7074,Palmer,Bryan, RD , Out Network,973, SMILE DENTAL ,4823, Female 
7075,Yardley,Hobbs, RD , Out Network,974, VIERRA HOSPITAL ,4969, Female 
7076,Amal,Richard,MD , Out Network,975, SMILE DENTAL ,3966, Not Answered
7077,Elliott,Ballard, PSYD ,In Network ,976, MEMORIAL HOSPITAL ,1706, Not Answered
7078,Dean,Sykes, MS ,In Network ,977, SMILE DENTAL ,3654,Male 
7079,Lawrence,Bailey, DDS, Out Network,978, VIERRA HOSPITAL ,4833, Female 
7080,Nash,Mcmahon, DDS, Out Network,979, ADVENT HEATH ,3051,Male 
7081,Timothy,Harper, MBBS ,In Network ,980, SMILE DENTAL ,2710, Female 
7082,Wallace,Warren, RD , Out Network,981, WELLCARE HOSPITAL ,4132,Male 
7083,Malachi,Poole,MD , Out Network,982, MEMORIAL HOSPITAL ,1911,Male 
7084,Graham,Watkins, CRNP ,In Network ,983, WELLCARE HOSPITAL ,3633,Male 
7085,Tate,Morton, CRNP ,In Network ,984, WELLCARE HOSPITAL ,2332, Not Answered
7086,Cain,Buckley, MBBS , Out Network,985, ADVENT HEATH ,3008, Not Answered
7087,August,Long, PSYD ,In Network ,986, ADVENT HEATH ,1457, Female 
7088,Ralph,Hudson,MD ,In Network ,987, ADVENT HEATH ,3196,Male 
7089,Ira,Bowman, MBBS , Out Network,988, CONCORDIA HEALTH ,2826, Female 
7090,Vaughan,Gaines, RD , Out Network,989, WELLCARE HOSPITAL ,2814,Male 
7091,Barry,Durham, PSYD ,In Network ,990, SMILE DENTAL ,1736, Not Answered
7092,Asher,Rodgers, PSYD ,In Network ,991, VIERRA HOSPITAL ,1601,Male 
7093,Judah,Hendricks, CRNP ,In Network ,992, MEMORIAL HOSPITAL ,1454, Not Answered
7094,Levi,Knapp, PSYD , Out Network,993, MEMORIAL HOSPITAL ,3067, Female 
7095,Holmes,Stein, MS , Out Network,994, MEMORIAL HOSPITAL ,4346, Not Answered
7096,Owen,Montgomery, DDS, Out Network,995, MEMORIAL HOSPITAL ,4778,Male 
7097,Kasper,Wells, MS , Out Network,996, SMILE DENTAL ,4757,Male 
7098,Basil,Hatfield,MD ,In Network ,997, CONCORDIA HEALTH ,4073,Male 
7099,Wesley,Townsend, CRNP , Out Network,998, SMILE DENTAL ,3326, Not Answered
7100,Branden,Lyons, MS ,In Network ,999, WELLCARE HOSPITAL ,3592, Not Answered
